//ARGV is (#(ARGV.count)) ["eaton_firstRun.adjtime.txt"]
fileInPath = eaton_firstRun.adjtime.txt
// Reading input file...
    1 #         1         2         3
    2 #12345678901234567890123456789012
    3 006513 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
    4 006578 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
    5 0065C1 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
    6 00661A 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
    7 006673 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
    8 0066CD 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
    9 006724 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   10 006782 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   11 0067DB 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   12 00682F 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   13 006835 18F00503 08 E00000E0FFFF2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
   14 006888 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   15 0068ED 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   16 00693A 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   17 006992 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   18 0069EC 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   19 006A41 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   20 006A9A 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   21 006AF3 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   22 006B4C 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   23 006BA5 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   24 006BAA 18F00503 08 E00000E0FFFF2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
   25 006BFE 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   26 006C5F 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   27 006CAF 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
   28 006D08 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
