#type,number,description
uint8_t,518,"Requested Torque / Torque Limit"
uint8_t,695,"Override Control Mode"
uint8_t,696,"Requested Speed Control Conditions"
uint8_t,897,"Override Control Mode Priority"
uint16_t,898,"Requested Speed / Speed Limit"
uint8_t,1849,"Transmission Requested Range Display"
uint8_t,1850,"Transmission Requested Range Display"
uint8_t,1851,"Transmission Shift Inhibit Indicator"
uint8_t,2536,"Transmission Mode 1 Indicator"
uint8_t,2537,"Transmission Mode 2 Indicator"
uint8_t,2538,"Transmission Mode 3 Indicator"
uint8_t,2539,"Transmission Mode 4 Indicator"
uint8_t,2900,"Transmission Engine Crank Enable"
uint8_t,2945,"Active Shift Console Indicator"
uint8_t,3086,"Transmission Ready for Brake Release"
uint8_t,3289,"Transmission Requested Gear Feedback"
uint8_t,3349,"TSC1 Transmission Rate"
uint8_t,3350,"TSC1 Control Purpose"

